headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
fall out,phrasal verb,B2,"urishib qolmoq, yuz ko'rmas bo'lib ketmoq","поссориться, испортить отношения",to have an argument with someone and stop being friendly with them,/fɔːl aʊt/,20113,phrasal,They fell out over a misunderstanding about money and haven't spoken since.,Ular pul borasidagi tushunmovchilik sababli urishib qolishdi va o'shandan beri gaplashishmayapti.,Они поссорились из-за недоразумения с деньгами и с тех пор не разговаривают.,"quarrel, argue, clash, bicker","make up, get along",fallout,"Biror kishi bilan urishmoq demoqchi bo'lganda 'fall out'dan keyin 'with' predlogi ishlatiladi, masalan: 'fall out with someone'."
look round,phrasal verb,B1,"aylanib ko'rmoq, tomosha qilmoq","осматривать, оглядывать",to visit a place and look at the things in it,/lʊk raʊnd/,20115,phrasal,We had an hour to look round the city center before our train arrived.,Poyezdimiz kelguniga qadar shahar markazini aylanib ko'rishga bir soat vaqtimiz bor edi.,"У нас был час, чтобы осмотреть центр города до прибытия поезда.","look around, explore, tour",,look,"'Look round' va 'look around' bir xil ma'noni anglatadi, lekin Britaniya ingliz tilida 'look round' ko'proq ishlatiladi."
take to,phrasal verb,B2,"yoqtirib qolmoq, o'rganib qolmoq","привязаться, проникнуться симпатией","to start liking someone or something, or start doing something as a habit",/teɪk tuː/,20117,phrasal,The new students took to the teaching style immediately.,Yangi talabalar o'qitish usulini darhol yoqtirib qolishdi.,Новые студенты сразу прониклись симпатией к стилю преподавания.,"warm to, like, get fond of",dislike,take,"'Take to' iborasidan keyin fe'l kelsa, u -ing shaklida bo'lishi kerak, masalan: 'took to swimming'."
turn away,phrasal verb,B2,"kirishga ruxsat bermaslik, qaytarib yubormoq","не впускать, отворачивать",to refuse to allow someone to enter a place,/tɜːn əˈweɪ/,20119,phrasal,Dozens of fans were turned away because the concert was completely sold out.,Konsert chiptalari to'liq sotilib ketgani sababli o'nlab ishqibozlar qaytarib yuborildi.,"Десятки поклонников не впустили, потому что все билеты на концерт были распроданы.","reject, turn back, refuse entry","admit, let in",turn,'Turn away' iborasi odamlarni kirgizmaslik ma'nosida majhul nisbatda (passive voice) juda ko'p ishlatiladi: 'were turned away'.
burn out,phrasal verb,B2,"ishdan toliqmoq, quvvati tugamoq","выгореть, переутомиться",to become extremely tired and ill because of working too hard over a long period,/bɜːn aʊt/,20121,phrasal,"If she continues working eighty hours a week, she will burn out soon.","Agar u haftasiga sakson soatdan ishlashda davom etsa, tez orada ishdan toliqib qoladi.","Если она продолжит работать по восемьдесят часов в неделю, то скоро выгорит.","exhaust oneself, overwork","recharge, relax",burnout,"Ot shakli 'burnout' bitta so'z bo'lib yoziladi, lekin fe'li 'burn out' tarzida ajratib yoziladi."
call on,phrasal verb,B1,"so'z bermoq, chaqirmoq; murojaat qilmoq","призывать, обращаться; вызывать","to formally ask someone to do something, or to ask someone in a class to answer",/kɔːl ɒn/,20123,phrasal,The teacher called on Sarah to answer the first question.,O'qituvchi birinchi savolga javob berish uchun Sarahga so'z berdi.,"Учитель вызвал Сару, чтобы она ответила на первый вопрос.","ask, request, invite",,call,"'Call on' darsda o'quvchiga so'z berish yoki rasman murojaat qilishda ishlatiladi, 'call up' esa telefon qilish degan ma'noni beradi."
cheer on,phrasal verb,B2,"qo'llab-quvvatlab hayqirmoq, dalda bermoq","поддерживать криками, болеть за",to encourage someone by shouting praises or words of enthusiasm,/tʃɪər ɒn/,20125,phrasal,Thousands of spectators gathered to cheer on the marathon runners.,Marafon yuguruvchilarini qo'llab-quvvatlash uchun minglab tomoshabinlar yig'ildi.,"Тысячи зрителей собрались, чтобы поддержать марафонцев.","encourage, support, root for","boo, discourage",cheer,Kishilik olmoshlari bilan ishlatilganda olmosh o'rtada kelishi kerak: 'cheer them on' ('cheer on them' emas).
come off,phrasal verb,B2,"o'xshamoq, muvaffaqiyatli amalga oshmoq","удаваться, проходить успешно",to happen successfully as planned,/kʌm ɒf/,20127,phrasal,The surprise party came off without any problems.,Kutilmagan ziyofat hech qanday muammosiz juda muvaffaqiyatli o'tdi.,Вечеринка-сюрприз прошла успешно и без каких-либо проблем.,"succeed, work out, go off","fail, fall through",come,'Come off' reja yoki tadbirlarning muvaffaqiyatli o'tishini bildiradi; 'come out' esa mahsulot yoki natijaning e'lon qilinishiga nisbatan ishlatiladi.
dawn on,phrasal verb,C1,"anglab yetmoq, xayoliga kelmoq","осенить, дойти до сознания","if something dawns on you, you realize or understand it for the first time",/dɔːn ɒn/,20129,phrasal,It suddenly dawned on him that he had left his keys inside the car.,Kalitlarini mashina ichida qoldirgani to'satdan uning xayoliga keldi.,"Его внезапно осенило, что он оставил ключи внутри машины.","occur to, hit, strike",,dawn,Ushbu ibora odatda 'it dawns on someone that...' strukturasida 'it' olmoshi bilan ishlatiladi.
drop in,phrasal verb,B1,"kirib o'tmoq, kutilmaganda yoqlab kelmoq","заглянуть, зайти без предупреждения","to pay a brief, usually informal visit to someone",/drɒp ɪn/,20131,phrasal,Feel free to drop in whenever you are in the neighborhood.,Shu atroflarda bo'lganingizda xohlagan vaqtingizda kirib o'ting.,"Заглядывайте в любое время, когда будете поблизости.","call round, drop by, pop in",,drop-in,"Biror kishining uyiga kirib o'tmoqchi bo'lsangiz, 'drop in on someone' birikmasi ishlatiladi."
head for,phrasal verb,B1,"tomonga yo'l olmoq, qarab yurmoq","направляться к, держать курс на",to move in the direction of a particular place or situation,/hed fɔː/,20133,phrasal,"After finishing work, they headed for the nearest restaurant.","Ishni tugatgach, ular eng yaqin restoran tomonga yo'l olishdi.","Закончив работу, они направились в ближайший ресторан.","make for, aim for, set off towards",retreat from,head,"'Head for' nafaqat joy tomonga, balki nomaqbul oqibat tomonga borishni ham bildirishi mumkin (masalan: 'heading for disaster')."
look over,phrasal verb,B2,"ko'zdan kechirmoq, qarab chiqmoq","просматривать, бегло осматривать",to examine or inspect something quickly,/lʊk ˈəʊvə/,20135,phrasal,Could you look over my essay and check for any spelling errors?,"Inshoimni ko'zdan kechirib, imlo xatolarini tekshirib bera olasizmi?",Не могли бы вы просмотреть мое эссе и проверить на наличие орфографических ошибок?,"inspect, examine, scan","ignore, overlook",look,'Look over' chala va tez ko'rib chiqishni anglatadi; diqqat bilan o'rganish uchun 'study' yoki 'examine thoroughly' ishlatiladi.
bail out,phrasal verb,B2,"qiyinchilikdan qutqarmoq, yordam bermoq","выручать из беды, спасать от банкротства","To rescue someone or an organisation from a difficult, especially financial, situation.",/beɪl aʊt/,20137,phrasal,The government had to bail out the failing bank to prevent a financial crisis.,Moliya inqirozining oldini olish uchun hukumat kasodga uchrayotgan bankni qutqarib qolishiga toʻgʻri keldi.,"Правительству пришлось спасать терпящий крах банк, чтобы предотвратить финансовый кризис.","rescue, save, help out",abandon,bailout,'Bail out' iborasini samolyotdan parashyutda sakrash tushunchasiga aralashtirmang; ko'proq moliyaviy qutqaruv ma'nosida ishlatiladi.
blend in,phrasal verb,B2,"birikib ketmoq, sezilmaydigan boʻlib olmoq","сливаться с окружением, гармонировать","To look or seem similar to the surrounding people or things, so as not to be easily noticed.",/blend ɪn/,20139,phrasal,The chameleon changes its skin color to blend in with its surroundings.,Xameleon atrof-muhit bilan birikib ketish uchun terisining rangini oʻzgartiradi.,"Хамелеон меняет цвет кожи, чтобы слиться с окружающей средой.","fit in, merge, harmonize",stand out,blend,"'Blend in' shunchaki aralashtirish emas, balki atrofga moslashib bildirmaslikni anglatadi."
bump into,phrasal verb,B1,tasodifan uchratib qolmoq,"случайно встретить, столкнуться",To meet someone unexpectedly or by chance.,/bʌmp ˈɪntə/,20141,phrasal,I bumped into an old school friend at the supermarket yesterday.,Kecha supermarketda tasodifan eski maktabdosh doʻstimni uchratib qoldim.,Вчера в супермаркете я случайно встретил старого школьного друга.,"run into, come across, meet by chance",avoid,bump,"'Bump into' faqat to'qnashib ketish emas, kutilmaganda ko'rishib qolishni ham bildiradi."
check up on,phrasal verb,B2,"hol-ahvolidan xabar olmoq, tekshirib turmoq","проверять, навещать, контролировать","To investigate or try to discover what someone is doing, especially to ensure they are safe or doing their work.",/tʃek ʌp ɒn/,20143,phrasal,My parents call every evening to check up on me while I am at university.,Men universitetda oʻqiyotganimda ota-onam har kuni kechqurun holimdan xabar olish uchun qoʻngʻiroq qilishadi.,"Мои родители звонят каждый вечер, чтобы узнать, как у меня дела, пока я учусь в университете.","monitor, inspect, keep an eye on","ignore, neglect",check-up,'Check up on' iborasida har uchala so'z ketma-ket ishlatilishi shart.
