headword,pos,example_en,example_uz,example_ru
noisy,adjective,The street is noisy in the morning.,,Утром на улице шумно.
pocket,noun,The keys are in my pocket.,,Ключи у меня в кармане.
polite,adjective,Always be polite to older people.,,Всегда будьте вежливы с пожилыми людьми.
practise,verb,Practise English every day.,,Практикуйте английский каждый день.
pull,verb,Pull the door to open it.,,"Потяните дверь, чтобы открыть ее."
push,verb,Push the button to start.,,"Нажмите кнопку, чтобы начать."
umbrella,noun,Take an umbrella — it may rain.,,Возьмите зонтик — может пойти дождь.
wallet,noun,I left my wallet at home.,,Я оставил свой кошелек дома.
achieve,verb,She achieved her goal of learning English.,,Она достигла своей цели — выучить английский язык.
admit,verb,He admitted that he was wrong.,,"Он признал, что был неправ."
advise,verb,The doctor advised him to rest.,,Врач посоветовал ему отдохнуть.
ambition,noun,Her ambition is to become a surgeon.,,Ее мечта – стать хирургом.
ancient,adjective,We visited an ancient city.,,Мы посетили древний город.
apologize,verb,I apologized for being late.,,Я извинился за опоздание.
apply,verb,She applied for a job at the bank.,,Она подала заявление на работу в банк.
argue,verb,They argued about money.,,Они спорили о деньгах.
attitude,noun,He has a positive attitude to work.,,У него позитивное отношение к работе.
average,adjective,The average student studies two hours a day.,,Среднестатистический студент учится два часа в день.
avoid,verb,Avoid sugar if you want to be healthy.,,"Избегайте сахара, если хотите быть здоровым."
behave,verb,The children behaved well at the party.,,На празднике дети вели себя хорошо.
belong,verb,This book belongs to my sister.,,Эта книга принадлежит моей сестре.
benefit,noun,Exercise has many health benefits.,,Физические упражнения имеют много преимуществ для здоровья.
brave,adjective,The brave firefighter saved the child.,,Отважный пожарный спас ребенка.
celebrate,verb,We celebrated Navruz with the whole family.,,Мы отмечали Навруз всей семьей.
challenge,noun,Learning Chinese is a real challenge.,,Изучение китайского языка – это настоящий вызов.
charity,noun,She gives money to charity every month.,,Она каждый месяц отдает деньги на благотворительность.
community,noun,Our community built a new playground.,,Наше сообщество построило новую детскую площадку.
compare,verb,Compare these two phones before buying.,,Сравните эти два телефона перед покупкой.
complain,verb,He complained about the cold soup.,,Он жаловался на холодный суп.
confident,adjective,She is confident about the exam.,,Она уверена в своем экзамене.
convince,verb,He convinced me to join the club.,,Он убедил меня вступить в клуб.
culture,noun,Uzbek culture is famous for hospitality.,,Узбекская культура славится гостеприимством.
